127.0.0.1 - - [29/Dec/2019:10:19:05 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [29/Dec/2019:10:19:08 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [29/Dec/2019:10:19:19 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [29/Dec/2019:10:19:33 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:28:04 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:28:06 +0530] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:38:14 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:38:19 +0530] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:38:25 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:38:27 +0530] "GET /spring-mvc-demo/hello/showForm HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:41:43 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:41:53 +0530] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:42:00 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:42:05 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:42:11 +0530] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:42:16 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:42:20 +0530] "GET /spring-mvc-demo/hello/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:42:25 +0530] "GET /spring-mvc-demo/customer HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:42:31 +0530] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:45:06 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:45:08 +0530] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [29/Dec/2019:11:45:12 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1304
